l,omega,GBF,log10GBF,flux_check,alpha_re,alpha_im,beta_re,beta_im,x_end,r_end,method,eps,rtol,atol,success
2,7.473430000000e-01,4.685951528803e-01,-3.292022080315e-01,1.000000300284e+00,-1.077193391310e+00,-9.867586788953e-01,6.534725573842e-02,1.062905324354e+00,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,6.934220000000e-01,2.503625851486e-01,-6.014305727363e-01,1.000000902357e+00,-8.762759403836e-01,-1.796203639817e+00,1.230725473873e-01,1.725995157905e+00,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,6.021070000000e-01,5.693264715533e-02,-1.244638622649e+00,1.000004434204e+00,2.287184301397e-01,-4.184770290487e+00,3.659540642203e-01,4.053478468316e+00,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,5.030100000000e-01,8.260203611064e-03,-2.083009247344e+00,1.000024338685e+00,4.259073202045e+00,-1.014508188947e+01,1.242454307227e+00,1.088662822183e+01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,4.150290000000e-01,1.226619006690e-03,-2.911290310122e+00,1.000133573433e+00,1.521067261291e+01,-2.416370222123e+01,3.884324519277e+00,2.826943501078e+01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,3.385990000000e-01,1.945945384564e-04,-3.710869352924e+00,1.000687732138e+00,4.166748120666e+01,-5.833276421780e+01,1.115719649093e+01,7.080541398881e+01,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,2.665050000000e-01,2.690819226526e-05,-4.570115477844e+00,1.004038167732e+00,1.107220886110e+02,-1.578100831633e+02,3.296203609614e+01,1.899365772899e+02,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
2,1.856170000000e-01,1.782371440237e-06,-5.749001785352e+00,1.045725353062e+00,3.802547725430e+02,-6.453344794924e+02,1.332447659474e+02,7.370855235899e+02,9.999000000000e-01,1.000000000000e+04,DOP853,1.000000000000e-06,1.000000000000e-09,1.000000000000e-11,True
